   line      element
   504.7440  Hf I    
   504.7580  V I     
   504.7670  Co I    
   504.7697  Mo I    
   504.7700  Fe I    
   504.7889  V I     
   504.7947  V I     
   504.7965  Nb I    
   504.8026  La II   
   504.8047  V I     
   504.8055  Ni I    
   504.8105  Co I    
   504.8116  Fe I    
   504.8169  Fe I    
   504.8232  Ni I    
   504.8241  Ti I    
   504.8290  Fe I    
   504.8323  Ti I    
   504.8371  Mn I    
   504.8433  Fe I    
   504.8539  Cr II   
   504.8572  Cr I    
   504.8628  V I     
   504.8740  Cr I    
   504.8770  Gd II   
   504.8828  Ce I    
   504.8843  Ni I    
   504.8898  Mn II   
   504.8931  V II    
   504.8949  Fe I    
   504.9036  C I     
   504.9072  Cr I    
   504.9090  Mn II   
   504.9097  Cr II   
   504.9121  Ti I    
   504.9156  C I     
   504.9319  Mn II   
   504.9343  Fe I    
   504.9419  V I     
   504.9493  Sm I    
   504.9528  Mn II   
   504.9544  V I     
   504.9607  Cl I    
   504.9671  V I     
   504.9740  V I     
   504.9796  Th II   
   504.9796  Co I    
   504.9819  Fe I    
   504.9880  Co I    
   505.0124  Fe I    
   505.0147  Ti I    
   505.0232  V I     
   505.0454  V II    
   505.0564  La I    
   505.0583  Fe I    
   505.0638  Co I    
   505.0784  Th I    
   505.0804  Ti II   
   505.0875  Sc I    
   505.0878  Gd II   
   505.0933  Ti I    
   505.0982  Ce I    
   505.1055  Nd I    
   505.1215  V I     
   505.1238  Cr I    
   505.1271  Cr I    
   505.1276  Fe I    
   505.1421  V II    
   505.1477  Ti I    
   505.1506  Ni I    
   505.1526  Ti I    
   505.1579  C I     
   505.1592  V I     
   505.1598  V I     
   505.1634  Fe I    
   505.1687  V I     
   505.1794  Cr I    
   505.1899  Cr I    
   505.2065  Ti I    
   505.2075  Mn II   
   505.2167  C I     
   505.2220  W I     
   505.2499  Fe I    
   505.2614  Sc I    
   505.2655  Er I    
   505.2752  Sm II   
   505.2874  Ti I    
   505.2966  Fe I    
   505.3053  Sc I    
   505.3114  Ti I    
   505.3147  Cr I    
   505.3263  Ce I    
   505.3280  W I     
   505.3296  Ni I    
   505.3313  V II    
   505.3324  Mn II   
   505.3395  Pr I    
   505.3504  Ca I    
   505.3515  C I     
   505.3537  Ce I    
   505.3544  Mo I    
   505.3548  V I     
   505.3651  Co II   
   505.3947  V I     
   505.3975  Sc I    
   505.4013  Fe I    
   505.4038  Mo I    
   505.4110  Ti I    
   505.4111  Co I    
   505.4178  Ce I    
   505.4241  Sc I    
   505.4256  Cr I    
   505.4273  Mo I    
   505.4379  Fe II   
   505.4397  Cr I    
   505.4473  Sc I    
   505.4594  W I     
   505.4619  C I     
   505.4642  Fe I    
   505.4834  Co I    
   505.4864  Cr II   
   505.4934  Ba I    
   505.4998  Mo I    
   505.5072  Ti I    
   505.5100  Cr I    
   505.5319  Fe II   
   505.5348  Th II   
   505.5384  Ti I    
   505.5454  C I     
   505.5524  W I     
   505.5557  Mn I    
   505.5598  Cr I    
   505.5731  Mn I    
   505.5789  Ce I    
   505.5859  Mn II   
   505.5993  Fe I    
   505.6099  Co I    
   505.6217  Cr I    
   505.6398  Sc II   
   505.6442  Cr I    
   505.6460  La I    
   505.6667  Cr I    
   505.6713  Cr II   
   505.6757  Sc I    
   505.6841  Fe I    
   505.6841  V I     
   505.6885  Nd I    
   505.6913  Cr I    
   505.6921  Fe II   
   505.6953  Mn I    
   505.6969  Cr I    
   505.7053  Cr I    
   505.7140  Sc I    
   505.7194  Cr II   
   505.7282  Mo I    
   505.7286  Cr II   
   505.7307  V I     
   505.7322  Ru I    
   505.7324  V II    
   505.7350  Fe I    
   505.7480  Fe I    
   505.7498  Fe I    
   505.7516  Cr I    
   505.7560  C I     
   505.7572  Fe II   
   505.7603  Lu I    
   505.7680  C I     
   505.7731  Sm II   
   505.7744  V I     
   505.7913  Cr I    
   505.7975  Ni I    
   505.7977  Co I    
   505.7992  Nb I    
   505.8034  Fe I    
   505.8069  Mo I    
   505.8103  Fe II   
   505.8376  V I     
   505.8496  Fe I    
   505.8527  Ti II   
   505.8550  Re I    
   505.8560  Th II   
   505.8632  P I     
   505.8683  Ta I    
   505.8978  Fe I    
   505.9026  V II    
   505.9213  P I     
   505.9351  Nb I    
   505.9364  V I     
   505.9372  Fe I    
   505.9392  V I     
   505.9483  Pt I    
   505.9526  Co II   
   505.9597  V II    
   505.9651  Cr II   
   505.9656  C I     
   505.9769  Co I    
   505.9825  Fe II   
   505.9851  C I     
   505.9861  Th I    
   505.9866  Sm I    
   505.9869  Mo I    
   505.9914  Ca I    
   506.0001  Ti I    
   506.0009  Nd I    
   506.0049  Fe I    
   506.0078  Fe I    
   506.0079  V II    
   506.0255  V I     
   506.0284  Co I    
   506.0349  Mo I    
   506.0417  Zr I    
   506.0419  Tm II   
   506.0535  Mn I    
   506.0691  Cr II   
   506.0898  Tm I    
   506.0919  Sm I    
   506.0960  Mn II   
   506.1067  Gd II   
   506.1223  Th II   
   506.1255  Cr I    
   506.1385  Co II   
   506.1900  Sc I    
   506.1916  P I     
   506.2112  Ti I    
   506.2221  Co I    
   506.2253  Tm I    
   506.2285  C I     
   506.2299  Fe II   
   506.2377  Co I    
   506.2514  Mo I    
   506.2651  Ru I    
   506.2800  V I     
   506.2857  Gd II   
   506.2907  Fe I    
   506.2918  La II   
   506.3075  Co II   
   506.3126  V I     
   506.3251  Cr I    
   506.3346  Fe I    
   506.3395  Pr I    
   506.3421  Fe III  
   506.3467  V I     
   506.3587  V I     
   506.3654  V I     
   506.3689  Ca I    
   506.3718  Ti I    
   506.3722  Nd II   
   506.3757  U I     
   506.3757  V I     
   506.3872  Ti I    
   506.3931  C I     
   506.3957  Ce I    
   506.3980  Mn II   
   506.4059  Cr I    
   506.4081  Ti I    
   506.4239  Sm II   
   506.4301  Sc I    
   506.4324  Co I    
   506.4380  V II    
   506.4446  Fe I    
   506.4462  Sc I    
   506.4498  Fe I    
   506.4581  Fe I    
   506.4590  Cr II   
   506.4601  V I     
   506.4602  Th I    
   506.4632  Mo I    
   506.4654  Ti I    
   506.4685  Sc I    
   506.4852  Co I    
   506.4898  Pr II   
   506.4909  Zr I    
   506.4955  Fe I    
   506.5014  Fe I    
   506.5024  C I     
   506.5037  Cr I    
   506.5115  Ca I    
   506.5122  Fe I    
   506.5127  Cr I    
   506.5194  Fe I    
   506.5242  Cr I    
   506.5245  Zr I    
   506.5250  Nb I    
   506.5258  Co II   
   506.5276  Ti II   
   506.5281  C I     
   506.5390  Fe II   
   506.5431  Fe II   
   506.5661  Ca I    
   506.5821  Fe II   
   506.5880  Tm I    
   506.5917  Cr I    
   506.5930  Ce I    
   506.5985  Ti I    
   506.5987  V I     
   506.5992  Fe II   
   506.6101  Ca I    
   506.6315  V I     
   506.6328  Ni II   
