   line             element
   5028.781         N II     
   5028.841         Ca I     
   5028.979         Ni II    
   5029.043         Fe II    
   5029.097         Fe II    
   5029.18          Ar I     
   5029.18          S IV     
   5029.1804        Fe I     
   5029.421         Ne II    
   5029.472         Ca III   
   5029.6           Ca I     
   5029.6179        Fe I     
   5029.62          Ar I     
   5029.665         Ca I     
   5029.8           S I      
   5029.99          S IV     
   5030.10          Ar I     
   5030.15          Fe III   
   5030.15          Fe III   
   5030.15          Fe III   
   5030.292         Ca I     
   5030.3115        Ar II    
   5030.3703        Fe I     
   5030.44          Ar I     
   5030.630         Fe II    
   5030.65          O III    
   5030.726         Ca I     
   5030.7781        Fe I     
   5030.7881        Ar II    
   5030.96          N III    
   5031.03          N IV     
   5031.0378        Fe I     
   5031.1049        Fe I     
   5031.16          Na II    
   5031.16          Na II    
   5031.24          Ar I     
   5031.32          Al I     
   5031.32          Al I     
   5031.3478        Ne I     
   5031.38          Na II    
   5031.5041        Ne I     
   5031.5072        Ar II    
   5031.6053        Fe I     
   5031.82          Ar I     
   5031.880         Ca I     
   5031.898         Fe II    
   5032.024         Ar I     
   5032.057         Ni II    
   5032.1           Ca I     
   5032.128         C II     
   5032.314         Ca I     
   5032.331         Ca I     
   5032.4019        Fe I     
   5032.434         S II     
   5032.518         Ne II    
   5032.518         Ne II    
   5032.543         Ne II    
   5032.6411        Si I     
   5032.677         Mg I     
   5032.7           S I      
   5032.7           S I      
   5032.712         Fe II    
   5032.73          Mg IV    
   5032.80          N IV     
   5032.908         Ni III   
   5032.951         Ne II    
   5033.02          Ar I     
   5033.055         Ne II    
   5033.06          Ar I     
   5033.181         Ne II    
   5033.207         Ne II    
   5033.217         Ne II    
   5033.385         Ar I     
   5033.72          Ar I     
   5033.957         Ca III   
   5033.960         Fe II    
   5034.            Mg VII   
   5034.003         Fe II    
   5034.206         Ne I     
   5034.231         Ni II    
   5034.246         Ar I     
   5034.308         O II     
   5034.340         Ni II    
   5034.40212       Ar II    
   5034.44          Ar I     
   5034.555         Ni II    
   5034.6           N V      
   5034.6           N V      
   5034.735         Si II    
   5034.762         Fe II    
   5034.934         Ca I     
   5035.0153        Ar II    
   5035.0357        Ar II    
   5035.04          Ar I     
   5035.14          Ar I     
   5035.182         Ne I     
   5035.3219        Fe I     
   5035.329         O II     
   5035.359         O II     
   5035.3622        Ni I     
   5035.519         Ni II    
   5035.539         Ni II    
   5035.708         Fe II    
   5035.78          O I      
   5035.80          Ar I     
   5035.8076        Ni I     
   5035.875         Ar I     
   5035.889         Ne II    
   5035.899         Ne II    
   5035.9           Ca I     
