w ab bp
1423.6 2.473 1.2
1424.8 2.455 1.0
1425.8 2.494 1.2
1427.0 2.56 1.2
1428.2 2.567 1.2
1429.4 2.609 1.2
1430.6 2.627 1.2
1431.8 2.512 1.2
1433.0 2.563 1.2
1434.2 2.538 1.2
1435.4 2.458 1.2
1436.6 2.499 1.0
1437.6 2.469 1.2
1438.8 2.408 1.2
1440.0 2.437 1.2
1441.2 2.432 1.2
1442.4 2.409 1.2
1443.6 2.392 1.2
1444.8 2.347 1.2
1446.0 2.336 1.2
1447.2 2.319 1.2
1448.4 2.327 1.0
1449.4 2.321 1.2
1450.6 2.317 1.2
1451.8 2.326 1.2
1453.0 2.318 1.2
1454.2 2.32 1.2
1455.4 2.314 1.2
1456.6 2.331 1.2
1457.8 2.351 1.2
1459.0 2.311 1.2
1460.2 2.32 1.0
1461.2 2.362 1.2
1462.4 2.416 1.2
1463.6 2.37 1.2
1464.8 2.344 1.2
1466.0 2.377 1.2
1467.2 2.388 1.2
1468.4 2.398 1.2
1469.6 2.439 1.2
1470.8 2.421 1.2
1472.0 2.401 1.0
1473.0 2.358 1.2
1474.2 2.313 1.2
1475.4 2.293 1.2
1476.6 2.3 1.2
1477.8 2.332 1.2
1479.0 2.319 1.2
1480.2 2.295 1.2
1481.4 2.312 1.2
1482.6 2.314 1.2
1483.8 2.262 1.0
1484.8 2.208 1.2
1486.0 2.163 1.2
1487.2 2.204 1.2
1488.4 2.225 1.2
1489.6 2.242 1.2
1490.8 2.224 1.2
1492.0 2.226 1.2
1493.2 2.186 1.2
1494.4 2.124 1.2
1495.6 2.084 1.0
1496.6 2.079 1.2
1497.8 2.095 1.2
1499.0 2.11 1.2
1500.2 2.124 1.2
1501.4 2.123 1.2
1502.6 2.159 1.2
1503.8 2.207 1.2
1505.0 2.262 1.2
1506.2 2.29 1.2
1507.4 2.305 1.0
1508.4 2.278 1.2
1509.6 2.266 1.2
1510.8 2.225 1.2
1512.0 2.196 1.2
1513.2 2.183 1.2
1514.4 2.175 1.2
1515.6 2.154 1.2
1516.8 2.099 1.2
1518.0 2.089 1.0
1519.0 2.125 1.2
1520.2 2.169 1.2
1521.4 2.169 1.2
1522.6 2.166 1.2
1523.8 2.179 1.2
1525.0 2.182 1.2
1526.2 2.21 1.2
1527.4 2.164 1.2
1528.6 2.215 1.2
1529.8 2.269 1.0
1530.8 2.265 1.2
1532.0 2.264 1.2
1533.2 2.214 1.2
1534.4 2.184 1.2
1535.6 2.177 1.2
1536.8 2.147 1.2
1538.0 2.142 1.2
1539.2 2.154 1.2
1540.4 2.165 1.2
1541.6 2.17 1.0
1542.6 2.146 1.2
1543.8 2.18 1.2
1545.0 2.135 1.2
1546.2 2.098 1.2
1547.4 2.11 1.2
1548.6 2.196 1.2
1549.8 2.202 1.2
1551.0 2.177 1.2
1552.2 2.189 1.2
1553.4 2.225 1.0
1554.4 2.266 1.2
1555.6 2.294 1.2
1556.8 2.287 1.2
1558.0 2.277 1.2
1559.2 2.243 1.2
1560.4 2.194 1.2
1561.6 2.194 1.2
1562.8 2.181 1.2
1564.0 2.152 1.2
1565.2 2.155 1.0
1566.2 2.166 1.2
1567.4 2.218 1.2
1568.6 2.193 1.2
1569.8 2.169 1.2
1571.0 2.199 1.2
1572.2 2.174 1.2
1573.4 2.174 1.2
1574.6 2.152 1.2
1575.8 2.113 1.2
1577.0 2.083 1.0
1578.0 2.106 1.2
1579.2 2.095 1.2
1580.4 2.096 1.2
1581.6 2.108 1.2
1582.8 2.106 1.2
1584.0 2.125 1.2
1585.2 2.119 1.2
1586.4 2.124 1.2
1587.6 2.088 1.2
1588.8 2.074 1.0
1589.8 2.107 1.2
1591.0 2.11 1.2
1592.2 2.105 1.2
1593.4 2.104 1.2
1594.6 2.098 1.2
1595.8 2.087 1.2
1597.0 2.103 1.2
1598.2 2.104 1.2
1599.4 2.086 1.2
1600.6 2.131 1.0
1601.6 2.118 1.2
1602.8 2.113 1.2
1604.0 2.11 1.2
1605.2 2.106 1.2
1606.4 2.1 1.2
1607.6 2.112 1.2
1608.8 2.126 1.2
1610.0 2.128 1.2
1611.2 2.105 1.2
1612.4 2.123 1.0
1613.4 2.119 1.2
1614.6 2.098 1.2
1615.8 2.128 1.2
1617.0 2.139 1.2
1618.2 2.113 1.2
1619.4 2.093 1.2
1620.6 2.099 1.2
1621.8 2.116 1.2
1623.0 2.135 1.0
1624.0 2.13 1.2
1625.2 2.136 1.2
1626.4 2.146 1.2
1627.6 2.117 1.2
1628.8 2.111 1.2
1630.0 2.121 1.2
1631.2 2.114 1.2
1632.4 2.085 1.2
1633.6 2.112 1.2
1634.8 2.138 1.0
1635.8 2.12 1.2
1637.0 2.087 1.2
1638.2 2.104 1.2
1639.4 2.114 1.2
1640.6 2.103 1.2
1641.8 2.113 1.2
1643.0 2.109 1.2
1644.2 2.083 1.2
1645.4 2.088 1.2
1646.6 2.096 1.0
1647.6 2.076 1.2
1648.8 2.106 1.2
1650.0 2.147 1.2
1651.2 2.176 1.2
1652.4 2.252 1.2
1653.6 2.325 1.2
1654.8 2.315 1.2
1656.0 2.253 1.2
1657.2 2.188 1.2
1658.4 2.198 1.0
1659.4 2.204 1.2
1660.6 2.196 1.2
1661.8 2.104 1.2
1663.0 2.085 1.2
1664.2 2.117 1.2
1665.4 2.143 1.2
1666.6 2.183 1.2
1667.8 2.145 1.2
1669.0 2.145 1.2
1670.2 2.127 1.0
1671.2 2.117 1.2
1672.4 2.117 1.2
1673.6 2.132 1.2
1674.8 2.122 1.2
1676.0 2.083 1.2
1677.2 2.078 1.2
1678.4 2.079 1.2
1679.6 2.085 1.2
1680.8 2.081 1.2
1682.0 2.097 1.0
1683.0 2.093 1.2
1684.2 2.082 1.2
1685.4 2.081 1.2
1686.6 2.092 1.2
1687.8 2.075 1.2
1689.0 2.073 1.2
1690.2 2.093 1.2
1691.4 2.103 1.2
1692.6 2.091 1.2
1693.8 2.091 1.0
1694.8 2.104 1.2
1696.0 2.106 1.2
1697.2 2.074 1.2
1698.4 2.06 1.2
1699.6 2.07 1.2
1700.8 2.087 1.2
1702.0 2.071 1.2
1703.2 2.072 1.2
1704.4 2.093 1.2
1705.6 2.084 1.0
1706.6 2.103 1.2
1707.8 2.096 1.2
1709.0 2.079 1.2
1710.2 2.071 1.2
1711.4 2.067 1.2
1712.6 2.056 1.2
1713.8 2.067 1.2
1715.0 2.09 1.2
1716.2 2.094 1.2
1717.4 2.09 1.0
1718.4 2.102 1.2
1719.6 2.088 1.2
1720.8 2.086 1.2
1722.0 2.092 1.2
1723.2 2.12 1.2
1724.4 2.096 1.2
1725.6 2.095 1.2
1726.8 2.102 1.2
1728.0 2.068 1.0
1729.0 2.06 1.2
1730.2 2.073 1.2
1731.4 2.084 1.2
1732.6 2.072 1.2
1733.8 2.056 1.2
1735.0 2.033 1.2
1736.2 2.037 1.2
1737.4 2.042 1.2
1738.6 2.032 1.2
1739.8 2.018 1.0
1740.8 2.003 1.2
1742.0 2.02 1.2
1743.2 2.027 1.2
1744.4 2.018 1.2
1745.6 2.004 1.2
1746.8 1.997 1.2
1748.0 2.019 1.2
1749.2 2.015 1.2
1750.4 2.0 1.2
1751.6 1.992 1.0
1752.6 1.963 1.2
1753.8 1.962 1.2
1755.0 1.992 1.2
1756.2 2.0 1.2
1757.4 1.993 1.2
1758.6 1.994 1.2
1759.8 2.019 1.2
1761.0 2.013 1.2
1762.2 2.003 1.2
1763.4 2.042 1.0
1764.4 2.037 1.2
1765.6 2.004 1.2
1766.8 1.981 1.2
1768.0 1.981 1.2
1769.2 1.971 1.2
1770.4 1.964 1.2
1771.6 1.967 1.2
1772.8 1.945 1.2
1774.0 1.945 1.2
1775.2 1.939 1.0
1776.2 1.942 1.2
1777.4 1.945 1.2
1778.6 1.941 1.2
1779.8 1.942 1.2
1781.0 1.948 1.2
1782.2 1.954 1.2
1783.4 1.943 1.2
1784.6 1.952 1.2
1785.8 1.955 1.2
1787.0 1.945 1.0
1788.0 1.935 1.2
1789.2 1.929 1.2
1790.4 1.931 1.2
1791.6 1.932 1.2
1792.8 1.931 1.2
1794.0 1.932 1.2
1795.2 1.904 1.2
1796.4 1.902 1.2
1797.6 1.906 1.2
1798.8 1.9 1.0
1799.8 1.897 1.2
1801.0 1.906 1.2
1802.2 1.928 1.2
1803.4 1.906 1.2
1804.6 1.919 1.2
1805.8 1.924 1.2
1807.0 1.913 1.2
1808.2 1.898 1.2
1809.4 1.896 1.2
1810.6 1.903 1.0
1811.6 1.908 1.2
1812.8 1.929 1.2
1814.0 1.942 1.2
1815.2 1.942 1.2
1816.4 1.936 1.2
1817.6 1.945 1.2
1818.8 1.932 1.2
1820.0 1.932 1.2
1821.2 1.935 1.2
1822.4 1.932 1.0
1823.4 1.928 1.2
1824.6 1.936 1.2
1825.8 1.95 1.2
1827.0 1.961 1.2
1828.2 1.971 1.2
1829.4 1.957 1.2
1830.6 1.947 1.2
1831.8 1.947 1.2
1833.0 1.951 1.0
1834.0 1.954 1.2
1835.2 1.968 1.2
1836.4 1.99 1.2
1837.6 1.97 1.2
1838.8 1.989 1.2
1840.0 2.0 1.2
1841.2 1.986 1.2
1842.4 1.976 1.2
1843.6 1.969 1.2
1844.8 1.963 1.0
1845.8 1.951 1.2
1847.0 1.951 1.2
1848.2 1.946 1.2
1849.4 1.952 1.2
1850.6 1.958 1.2
1851.8 1.966 1.2
1853.0 1.984 1.2
1854.2 1.984 1.2
1855.4 1.98 1.2
1856.6 1.979 1.0
1857.6 1.982 1.2
1858.8 1.968 1.2
1860.0 1.952 1.2
1861.2 1.948 1.2
1862.4 1.938 1.2
1863.6 1.958 1.2
1864.8 1.956 1.2
1866.0 1.953 1.2
1867.2 1.948 1.2
1868.4 1.932 1.0
1869.4 1.927 1.2
1870.6 1.921 1.2
1871.8 1.907 1.2
1873.0 1.879 1.2
1874.2 1.888 1.2
1875.4 1.892 1.2
1876.6 1.894 1.2
1877.8 1.895 1.2
1879.0 1.899 1.2
1880.2 1.892 1.0
1881.2 1.877 1.2
1882.4 1.874 1.2
1883.6 1.895 1.2
1884.8 1.906 1.2
1886.0 1.907 1.2
1887.2 1.917 1.2
1888.4 1.917 1.2
1889.6 1.923 1.2
1890.8 1.925 1.2
1892.0 1.926 1.0
1893.0 1.954 1.2
1894.2 1.957 1.2
1895.4 1.949 1.2
1896.6 1.945 1.2
1897.8 1.937 1.2
1899.0 1.938 1.2
1900.2 1.939 1.2
1901.4 1.948 1.2
1902.6 1.95 1.2
1903.8 1.966 1.0
1904.8 1.975 1.2
1906.0 1.975 1.2
1907.2 1.974 1.2
1908.4 1.945 1.2
