w fl
3022.0762738 42710000.0
3022.1064947 43220000.0
3022.1367159 43940000.0
3022.1669374 44810000.0
3022.1971592 45600000.0
3022.2273813 46100000.0
3022.2576036 46270000.0
3022.2878263 46260000.0
3022.3180493 46220000.0
3022.3482726 46190000.0
3022.3784962 46210000.0
3022.4087202 46290000.0
3022.4389444 46430000.0
3022.4691689 46650000.0
3022.4993937 46940000.0
3022.5296188 47260000.0
3022.5598442 47510000.0
3022.5900699 47680000.0
3022.620296 47820000.0
3022.6505223 47970000.0
3022.6807489 48100000.0
3022.7109758 48190000.0
3022.7412031 48240000.0
3022.7714306 48280000.0
3022.8016584 48320000.0
3022.8318866 48360000.0
3022.862115 48400000.0
3022.8923438 48420000.0
3022.9225728 48420000.0
3022.9528021 48420000.0
3022.9830318 48420000.0
3023.0132617 48420000.0
3023.043492 48420000.0
3023.0737226 48430000.0
3023.1039534 48440000.0
3023.1341846 48450000.0
3023.164416 48450000.0
3023.1946478 48430000.0
3023.2248799 48380000.0
3023.2551122 48290000.0
3023.2853449 48180000.0
3023.3155779 48060000.0
3023.3458112 47960000.0
3023.3760447 47880000.0
3023.4062786 47830000.0
3023.4365128 47790000.0
3023.4667473 47760000.0
3023.4969821 47750000.0
3023.5272172 47760000.0
3023.5574526 47780000.0
3023.5876883 47810000.0
3023.6179243 47860000.0
3023.6481606 47920000.0
3023.6783972 48020000.0
3023.7086341 48130000.0
3023.7388713 48250000.0
3023.7691088 48330000.0
3023.7993466 48380000.0
3023.8295847 48390000.0
3023.8598231 48390000.0
3023.8900618 48390000.0
3023.9203009 48390000.0
3023.9505402 48390000.0
3023.9807798 48400000.0
3024.0110197 48410000.0
3024.04126 48410000.0
3024.0715005 48400000.0
3024.1017413 48410000.0
3024.1319825 48410000.0
3024.1622239 48410000.0
3024.1924657 48390000.0
3024.2227077 48380000.0
3024.2529501 48380000.0
3024.2831927 48360000.0
3024.3134357 48320000.0
3024.3436789 48260000.0
3024.3739225 48210000.0
3024.4041663 48160000.0
3024.4344105 48080000.0
3024.464655 47950000.0
3024.4948997 47750000.0
3024.5251448 47550000.0
3024.5553902 47370000.0
3024.5856358 47220000.0
3024.6158818 47090000.0
3024.6461281 46910000.0
3024.6763747 46630000.0
3024.7066216 46300000.0
3024.7368688 46020000.0
3024.7671163 45850000.0
3024.797364 45750000.0
3024.8276121 45710000.0
3024.8578605 45710000.0
3024.8881092 45780000.0
3024.9183582 45930000.0
3024.9486075 46110000.0
3024.9788571 46290000.0
3025.0091071 46430000.0
3025.0393573 46570000.0
3025.0696078 46760000.0
3025.0998586 47020000.0
3025.1301097 47350000.0
3025.1603611 47680000.0
3025.1906129 47890000.0
3025.2208649 47990000.0
3025.2511172 48040000.0
3025.2813699 48090000.0
3025.3116228 48130000.0
3025.341876 48170000.0
3025.3721296 48210000.0
3025.4023834 48250000.0
3025.4326376 48300000.0
3025.462892 48340000.0
3025.4931468 48370000.0
3025.5234018 48370000.0
3025.5536572 48370000.0
3025.5839128 48370000.0
3025.6141688 48350000.0
3025.644425 48320000.0
3025.6746816 48280000.0
3025.7049385 48260000.0
3025.7351956 48240000.0
3025.7654531 48220000.0
3025.7957109 48210000.0
3025.825969 48200000.0
3025.8562274 48200000.0
3025.886486 48200000.0
3025.916745 48200000.0
3025.9470043 48200000.0
3025.9772639 48200000.0
3026.0075238 48210000.0
3026.037784 48210000.0
3026.0680445 48210000.0
3026.0983053 48210000.0
3026.1285664 48220000.0
3026.1588278 48220000.0
3026.1890895 48220000.0
3026.2193515 48180000.0
3026.2496138 48080000.0
3026.2798765 47850000.0
3026.3101394 47520000.0
3026.3404026 47180000.0
3026.3706661 46900000.0
3026.4009299 46680000.0
3026.4311941 46420000.0
3026.4614585 46000000.0
3026.4917232 45350000.0
3026.5219883 44600000.0
3026.5522536 43910000.0
3026.5825193 43370000.0
3026.6127852 42990000.0
3026.6430515 42770000.0
3026.673318 42710000.0
3026.7035849 42840000.0
3026.733852 43130000.0
3026.7641195 43540000.0
3026.7943873 43960000.0
3026.8246553 44370000.0
3026.8549237 44830000.0
3026.8851924 45410000.0
3026.9154613 46130000.0
3026.9457306 46910000.0
3026.9760002 47580000.0
3027.0062701 47990000.0
3027.0365402 48160000.0
3027.0668107 48170000.0
3027.0970815 48050000.0
3027.1273526 47830000.0
3027.157624 47580000.0
3027.1878957 47340000.0
3027.2181677 47090000.0
3027.24844 46700000.0
3027.2787126 46050000.0
3027.3089855 45190000.0
3027.3392587 44320000.0
3027.3695322 43590000.0
3027.3998061 43030000.0
3027.4300802 42590000.0
3027.4603546 42200000.0
3027.4906293 41890000.0
3027.5209044 41740000.0
3027.5511797 41810000.0
3027.5814553 42080000.0
3027.6117313 42460000.0
3027.6420075 42910000.0
3027.672284 43460000.0
3027.7025609 44180000.0
3027.732838 45040000.0
3027.7631155 45890000.0
3027.7933932 46540000.0
3027.8236713 46930000.0
3027.8539496 47180000.0
3027.8842283 47430000.0
3027.9145073 47710000.0
3027.9447865 48000000.0
3027.9750661 48220000.0
3028.005346 48330000.0
3028.0356261 48350000.0
3028.0659066 48360000.0
3028.0961874 48350000.0
3028.1264685 48340000.0
3028.1567499 48320000.0
3028.1870316 48290000.0
3028.2173136 48270000.0
3028.2475958 48240000.0
3028.2778784 48220000.0
3028.3081613 48200000.0
3028.3384445 48190000.0
3028.3687281 48180000.0
3028.3990119 48180000.0
3028.429296 48180000.0
3028.4595804 48180000.0
3028.4898651 48190000.0
3028.5201501 48200000.0
3028.5504354 48220000.0
3028.5807211 48240000.0
3028.611007 48260000.0
3028.6412932 48270000.0
3028.6715798 48250000.0
3028.7018666 48170000.0
3028.7321537 47950000.0
3028.7624412 47520000.0
3028.7927289 46920000.0
3028.823017 46310000.0
3028.8533053 45790000.0
3028.883594 45390000.0
3028.9138829 45090000.0
3028.9441722 44880000.0
3028.9744618 44760000.0
3029.0047516 44730000.0
3029.0350418 44800000.0
3029.0653323 44950000.0
3029.095623 45190000.0
3029.1259141 45530000.0
3029.1562055 45970000.0
3029.1864972 46520000.0
3029.2167892 47140000.0
3029.2470815 47710000.0
3029.2773741 48110000.0
3029.3076669 48300000.0
3029.3379601 48340000.0
3029.3682536 48350000.0
3029.3985474 48350000.0
3029.4288416 48350000.0
3029.459136 48350000.0
3029.4894307 48340000.0
3029.5197257 48340000.0
3029.550021 48340000.0
3029.5803166 48340000.0
3029.6106126 48340000.0
3029.6409088 48310000.0
3029.6712053 48220000.0
3029.7015021 48070000.0
3029.7317993 47890000.0
3029.7620967 47730000.0
3029.7923945 47600000.0
3029.8226925 47500000.0
3029.8529909 47420000.0
3029.8832895 47360000.0
3029.9135885 47320000.0
3029.9438877 47300000.0
3029.9741873 47300000.0
3030.0044871 47340000.0
3030.0347873 47380000.0
3030.0650878 47450000.0
3030.0953886 47540000.0
3030.1256896 47660000.0
3030.155991 47800000.0
3030.1862927 47920000.0
3030.2165947 47960000.0
3030.246897 47940000.0
3030.2771995 47900000.0
3030.3075024 47800000.0
3030.3378056 47530000.0
3030.3681091 47020000.0
3030.3984129 46320000.0
3030.428717 45630000.0
3030.4590215 45060000.0
3030.4893262 44630000.0
3030.5196312 44330000.0
3030.5499365 44140000.0
3030.5802421 44060000.0
3030.610548 44060000.0
3030.6408543 44160000.0
3030.6711608 44350000.0
3030.7014676 44640000.0
3030.7317748 45010000.0
3030.7620822 45430000.0
3030.7923899 45860000.0
3030.822698 46310000.0
3030.8530063 46720000.0
3030.883315 46950000.0
3030.9136239 46970000.0
3030.9439332 46880000.0
3030.9742428 46780000.0
3031.0045526 46720000.0
3031.0348628 46690000.0
3031.0651733 46700000.0
3031.095484 46750000.0
3031.1257951 46840000.0
3031.1561065 46970000.0
3031.1864182 47150000.0
3031.2167302 47390000.0
3031.2470424 47670000.0
3031.277355 47940000.0
3031.3076679 48130000.0
3031.3379811 48220000.0
3031.3682946 48270000.0
3031.3986084 48300000.0
3031.4289225 48310000.0
3031.459237 48310000.0
3031.4895517 48310000.0
3031.5198667 48310000.0
3031.550182 48310000.0
3031.5804976 48300000.0
3031.6108136 48280000.0
3031.6411298 48190000.0
3031.6714463 47930000.0
3031.7017632 47450000.0
3031.7320803 46870000.0
3031.7623977 46320000.0
3031.7927155 45850000.0
3031.8230335 45440000.0
3031.8533519 45030000.0
3031.8836705 44640000.0
3031.9139895 44330000.0
3031.9443088 44140000.0
3031.9746283 44060000.0
3032.0049482 44080000.0
3032.0352684 44200000.0
3032.0655888 44430000.0
3032.0959096 44800000.0
3032.1262307 45310000.0
3032.1565521 45910000.0
3032.1868738 46460000.0
3032.2171957 46820000.0
3032.247518 46970000.0
3032.2778406 47000000.0
3032.3081635 46990000.0
3032.3384867 47000000.0
3032.3688102 47000000.0
3032.3991341 46970000.0
3032.4294582 46930000.0
3032.4597826 46920000.0
3032.4901073 46930000.0
3032.5204323 46940000.0
3032.5507577 46950000.0
3032.5810833 46970000.0
3032.6114092 47030000.0
3032.6417354 47120000.0
3032.672062 47250000.0
