      wl    A1  A2  A3
      #microns
       51.542375     0.063577851     0.063577851      0.11812975
       52.726116     0.060925727     0.060925727      0.11317961
       53.937044     0.058441202     0.058441202      0.10923534
       55.175783     0.056076658     0.056076658      0.10429443
       56.442971     0.053777317     0.053777317      0.10016103
       57.739261     0.051565576     0.051565576     0.096013943
       59.065323     0.049472961     0.049472961     0.092054937
       60.421840     0.047461998     0.047461998     0.088271596
       61.809511     0.045492346     0.045492346     0.084626225
       63.229051     0.043620760     0.043620760     0.081177370
       64.681194     0.041849738     0.041849738     0.077859584
       66.166686     0.040098223     0.040098223     0.074696449
       67.686295     0.038421749     0.038421749     0.071643499
       69.240805     0.036939197     0.036939197     0.068693595
       70.831015     0.035369989     0.035369989     0.065929975
       72.457747     0.033987327     0.033987327     0.063270424
       74.121839     0.032605828     0.032605828     0.060711654
       75.824149     0.031324445     0.031324445     0.058248889
       77.565555     0.030049497     0.030049497     0.055974246
       79.346955     0.028855363     0.028855363     0.053792273
       81.169268     0.027772216     0.027772216     0.051720361
       83.033432     0.026691605     0.026691605     0.049652675
       84.940409     0.025670663     0.025670663     0.047776657
       86.891183     0.024683526     0.024683526     0.045908815
       88.886758     0.023693555     0.023693555     0.044133886
       90.928165     0.022804552     0.022804552     0.042409101
       93.016456     0.021916128     0.021916128     0.040732255
       95.152707     0.021026287     0.021026287     0.039152574
       97.338020     0.020236423     0.020236423     0.037672844
       99.573522     0.019449642     0.019449642     0.036224462
       101.86037     0.018700000     0.018700000     0.034793087
       104.19973     0.018033513     0.018033513     0.033450135
       106.59282     0.017273480     0.017273480     0.032146961
       109.04087     0.016493188     0.016493188     0.030779564
       111.54514     0.015907837     0.015907837     0.029523509
       114.10693     0.015213295     0.015213295     0.028153180
       116.72756     0.014420699     0.014420699     0.026831048
       119.40836     0.013715273     0.013715273     0.025361090
       122.15074     0.012842645     0.012842645     0.023963969
       124.95610     0.012069684     0.012069684     0.022439368
       127.82589     0.011156636     0.011156636     0.020756636
       130.76159     0.010226905     0.010226905     0.019011509
       133.76471    0.0093776450    0.0093776450     0.017391595
       136.83680    0.0085689595    0.0085689595     0.015807542
       139.97945    0.0076500000    0.0076500000     0.014210277
       143.19427    0.0069585022    0.0069585022     0.012889648
       146.48292    0.0063454207    0.0063454207     0.011837129
       149.84710    0.0059570534    0.0059570534     0.011045089
       153.28855    0.0055532405    0.0055532405     0.010358101
       156.80903    0.0052615196    0.0052615196    0.0097530395
       160.41037    0.0049333780    0.0049333780    0.0092256522
       164.09441    0.0047003355    0.0047003355    0.0087506712
       167.86307    0.0044718464    0.0044718464    0.0083040618
       171.71827    0.0042540867    0.0042540867    0.0078981729
       175.66202    0.0040468991    0.0040468991    0.0075137980
       179.69634    0.0038501825    0.0038501825    0.0071583286
       183.82332    0.0036600614    0.0036600614    0.0068126381
       188.04507    0.0034829064    0.0034829064    0.0064958127
       192.36379    0.0033381757    0.0033381757    0.0061954460
       196.78169    0.0031652115    0.0031652115    0.0059004229
       201.30105    0.0030381437    0.0030381437    0.0056317513
       205.92420    0.0028904689    0.0028904689    0.0053766415
       210.65354    0.0027515489    0.0027515489    0.0051223234
       215.49149    0.0026286581    0.0026286581    0.0048910969
       220.44055    0.0025098337    0.0025098337    0.0046730558
       225.50327    0.0023953344    0.0023953344    0.0044660031
       230.68226    0.0022856574    0.0022856574    0.0042591435
       235.98020    0.0021858416    0.0021858416    0.0040730694
       241.39981    0.0020885743    0.0020885743    0.0038871485
       246.94389    0.0019890595    0.0019890595    0.0037084325
       252.61529    0.0018996943    0.0018996943    0.0035295924
       258.41695    0.0018111073    0.0018111073    0.0033622146
       264.35185    0.0017219752    0.0017219752    0.0031939506
       270.42306    0.0016336927    0.0016336927    0.0030373855
       276.63370    0.0015545788    0.0015545788    0.0028968681
       282.98697    0.0014860356    0.0014860356    0.0027590534
       289.48616    0.0014072217    0.0014072217    0.0026244434
       296.13461    0.0013439140    0.0013439140    0.0025017423
       302.93575    0.0012844957    0.0012844957    0.0023834870
       309.89308    0.0012250384    0.0012250384    0.0022751152
       317.01020    0.0011657358    0.0011657358    0.0021714716
       324.29078    0.0011163643    0.0011163643    0.0020727287
       331.73857    0.0010632783    0.0010632783    0.0019799175
       339.35740    0.0010172129    0.0010172129    0.0018916389
       347.15121   0.00097151843   0.00097151843    0.0018054881
       355.12402   0.00092745699   0.00092745699    0.0017269140
       363.27993   0.00088605755   0.00088605755    0.0016482864
       371.62315   0.00084849620   0.00084849620    0.0015788805
       380.15799   0.00081019100   0.00081019100    0.0015103820
       388.88884   0.00077550527   0.00077550527    0.0014410105
       397.82021   0.00074309484   0.00074309484    0.0013824330
       406.95670   0.00071147764   0.00071147764    0.0013236941
       416.30302   0.00068298991   0.00068298991    0.0012724874
       425.86400   0.00065476644   0.00065476644    0.0012158881
       435.64455   0.00062805307   0.00062805307    0.0011668436
       445.64973   0.00060201979   0.00060201979    0.0011240396
       455.88469   0.00057827201   0.00057827201    0.0010746743
       466.35471   0.00055458712   0.00055458712    0.0010351743
       477.06519   0.00053284225   0.00053284225   0.00099068451
       488.02165   0.00051154049   0.00051154049   0.00095235124
       499.22974   0.00049139701   0.00049139701   0.00091511459
       510.69524   0.00047267461   0.00047267461   0.00087961431
       522.42406   0.00045495989   0.00045495989   0.00084633581
